Tibetan	Description
ཚོར་བ་	Feeling or sense [e:Feeling or sense (an aspect of the mind which experiences objects as pleasant, unpleasant or neutral)  
ཚོས་	Lakh pipal ༼bot=༽ Laccifer lacca [e:༼sk=Lakh pipal༽ ༼bot=༽ Laccifer lacca  
མཚང་འབྲུ་	Finding faults [e:Finding faults  
མཚན་ཉིད་	Characteristic, properties [e:Characteristic, properties  
མཚན་ཉིད་རིག་པ་	Philosophy [e:Philosophy (Buddhist dialetic)  
མཚན་བར་རྡོལ་བ་	Perineal fistula, Anal fistula [e:Perineal fistula, Anal fistula  
མཚན་མེད་མ་ནིང་	Being who has neither the physical characteristic of male nor of female [e:Being who has neither the physical characteristic of male nor of female  
མཚན་ཚད་	Duration of the night [e:Duration of the night  
མཚམ་	 [e:  ༼m1༽ Retreat (refers to an intensive silent meditation dedicated to the practice of a particular diety)   ༼m2༽ Boundary or border line  
མཚལ་	Scientific Name: Cinnabaris [e:Scientific Name: Cinnabaris Taste: Sweet Uses: It treats wounds, infections associated with pulmonary, hepatic and nerves.  
མཚུན་གཏོར་	Making gtor.ma or sacrificial offering cake on behalf of deceased ancestors [e:Making gtor.ma or sacrificial offering cake on behalf of deceased ancestors  
མཚུན་ལྷ་	Ancestral gods [e:Ancestral gods  
མཚེ་	Son latha ༼bot=༽ Ephedra Equisetina [e:༼sk= Son latha༽ ༼bot=༽ Ephedra Equisetina  
མཚེ་ལྡུམ་	Son latha ༼bot=༽ Ephedra geradiana [e:༼sk= Son latha༽ ༼bot=༽ Ephedra geradiana Taste: Bitter Potency: Cool Uses: It is a rejuvenating agent, stops bleeding from arteries, subside fever associated with liver, gall bladder, spleen and all kinds of initial and chronic fevers.  
མཚོ་དྲུག་	The six lakes ༼m1༽ Lake of honey ༼m2༽ Lake of butter ༼m3༽ Lake of yoghurt ༼m4༽ Lake of milk ༼m5༽ Lake of water; and [e:The six lakes   ༼m1༽ Lake of honey   ༼m2༽ Lake of butter   ༼m3༽ Lake of yoghurt   ༼m4༽ Lake of milk   ༼m5༽ Lake of water; and   ༼m6༽ Lake of ཆང  
མཚོ་ཚྭ་	༼en=༽ Lake salt [e:༼en=༽ Lake salt Taste: Sweet Potency: Warm Uses: See ( རྒྱམ་ཚྭ )  
མཚོག་གསང་	༼grm=lit༽ concealed likeness, refers to a vein located four fingers breath [e:༼grm=lit༽ concealed likeness, refers to a vein located four fingers breath (sor.bzhi) from the hair line  
མཚོན་	tshoen ༼m1༽ Weapons, [e:tshoen   ༼m1༽ Weapons,   ༼m2༽ The fore finger  
མཚོན་གྱི་དྲུ་བུ་	tson gi droo boo Coloured thread wounded into balls [e:tson gi droo boo Coloured thread wounded into balls  
འཚོ་བ་གསུམ་	The three factors of living: ༼m1༽ ཚེ -life ༼m2༽ བསོད་ནམས -merits [e:The three factors of living:   ༼m1༽ ཚེ -life   ༼m2༽ བསོད་ནམས -merits   ༼m3༽ ལས - karma  
འཚོ་བ་གསུམ་ཟད་	Exhaustation of three life supporting factors: ༼m1༽ ཚེ -one's life span ༼m2༽ ལས -karma [e:Exhaustation of three life supporting factors:   ༼m1༽ ཚེ -one's life span   ༼m2༽ ལས -karma   ༼m3༽ བསོད་ནམས -merits  
ཛ་ཏི་	Jatiphala ༼hn=༽ Jaiphal/Jati ༼en=༽ Nutmeg ༼bot=༽ Myristica fragrans Houtt Family: Myristicaceae [e:༼sk= Jatiphala༽ ༼hn=༽ Jaiphal/Jati ༼en=༽ Nutmeg ༼bot=༽ Myristica fragrans Houtt Family: Myristicaceae Taste: Hot Potency: Promotes heat Uses: It is useful in the treatment of rlung disorders, heart ailments, angina pectoris, indigestion, nausea, dysentery, insomnia, bronchial irritations and generates heat, helps in digestion and promotes appetite.  
ཛ་ཏི་ཕ་ལ་	It is a synonym for the nut of Myristica fragrans Houtt. [e:It is a synonym for the nut of Myristica fragrans Houtt.  
ཛ་ཏྲི་ཀ་	༼bot=༽ Campanula sp. [e:༼bot=༽ Campanula sp. Taste: Bitter to astringent Potency: Neutral Uses: It is useful in treating white and blood discharge and རླུང disease.  
མཛུབ་གང་	One forefinger A measure of length used in Tibet. One མཛུབ། refers to the distance measured from the tip of the index finger to its base. [e:One forefinger A measure of length used in Tibet. One མཛུབ། refers to the distance measured from the tip of the index finger to its base.  
མཛེ་	kustha Leprosy, It is bebved to be caused by one's action in former life or water spirits ( ཀླུ ) when they get offended and is thus also known as ཀླུ་ནད [e:Leprosy, ༼sk= kustha༽ It is bebved to be caused by one's action in former life or water spirits ( ཀླུ ) when they get offended and is thus also known as ཀླུ་ནད (disease of ཀླུ ).     
མཛེར་པ་	Wart, though generally white in colour one found on the toes of the feet are refered to as black wart [e:Wart, though generally white in colour one found on the toes of the feet are refered to as black wart ( མདཡེར་པ་ནག་པོ )  
མཛོ་	A cross between yak and cow [e:A cross between yak and cow  
མཛོ་མོ་ཤིང་	༼bot=༽ Caragana jubata [e:༼bot=༽ Caragana jubata Taste: Bitter Potency: Cool Uses: It is used against hot disorders associated with the blood, blood cysts and enhances circulation of blood.  
མཛོད་	Store, treasury, depositary [e:Store, treasury, depositary     
འཛག་པ་	To leak [e:To leak  
འཛིང་ག་བཀྱེ་བ་	Wrestling, fighting [e:Wrestling, fighting  
འཛིན་	To hold, grasps, catch [e:To hold, grasps, catch (e.g. self grasping- བདག་འཛིརི )     
འཛིན་པ་	༼en=༽ Wolfsbane ༼bot=༽ Aconitum Napellus Linn Uses: It has medicinal value to control epidemics, infections fever and oedema. [e:༼en=༽ Wolfsbane ༼bot=༽ Aconitum Napellus Linn Uses: It has medicinal value to control epidemics, infections fever and oedema.     
འཛིན་པ་དཀར་པོ་	Aconitum napellus Linn [e:Aconitum napellus Linn (White aconite)  
རྫ་མཁན་	Potter [e:Potter  
རྫ་ཕོར་	Earthern bowls [e:Earthern bowls  
རྫས་	Substances, materials, chemical, ingredients [e:Substances, materials, chemical, ingredients     
རྫས་འགྱུར་རིག་པ་	Chemistry [e:Chemistry  
རྫི་དུག་	vayu-dusti Air poisoning, poisoning from air, [e:Air poisoning, poisoning from air, ༼sk= vayu-dusti༽  
རྫི་མ་	Eye-lash [e:Eye-lash     
རྫིང་བུ་	Pond or pool [e:Pond or pool  
རྫུན་	False, lie, [e:False, lie,  
རྫོགས་ཆེན་	The Great completeness or the great perfection [e:The Great completeness or the great perfection  
རྫོགས་པ་	Completion [e:Completion     
རྫོགས་རིམ་	Stage of perfection, inward practices during the state of meditation [e:Stage of perfection, inward practices during the state of meditation  
རྫོང་	Fortress or castle, district [e:Fortress or castle, district     
ཝ་མོ་	Fox [e:Fox (Vulpes vulpes) It is a notoriously cunning animal with upright ears and bushy tails. According to རྒྱུད་བཞི། people with predominance wind have the characteristic of a fox.  
ཞ་ཉེ་	Englis Name: Lead Latin Name: Plumbum [e:Englis Name: Lead Latin Name: Plumbum Taste: Sweet Uses: It eliminates toxins from the body, heals infected wounds, neutralises the harmful sideeffects of mercury and enhances hair colour.  
ཞ་བ་	Lame or cripple A condition characterised by difficulty in walking due to an injury or illness affecting the leg or foot. [e:Lame or cripple A condition characterised by difficulty in walking due to an injury or illness affecting the leg or foot.  
ཞག་	Day [e:Day     
ཞག་གསུམ་	The three days ༼m1༽ ཚེས་ཡབག -lunar day ༼m2༽ ཉིན་ཞག - solar day and [e:The three days   ༼m1༽ ཚེས་ཡབག -lunar day   ༼m2༽ ཉིན་ཞག - solar day and   ༼m3༽ ཁྱིམ་ཞག -zodiac or house day  
ཞང་པོ་	Maternal uncle [e:Maternal uncle  
ཞང་ཞུང་	The ancient name of Guge in མངའ་རི་ཀོར་གསུམ། Western Tibet, where Shenrab Mebo was born and founded Bon religion [e:The ancient name of Guge in མངའ་རི་ཀོར་གསུམ། Western Tibet, where Shenrab Mebo was born and founded Bon religion  
ཞན་པོ་	Weak A condition characterised by lacking physical strength and energy. [e:Weak A condition characterised by lacking physical strength and energy.  
ཞར་བ་	Blind A condition characterised by lacking the power of sight. [e:Blind A condition characterised by lacking the power of sight.     
ཞལ་ཁྲིད་	Personal instruction [e:Personal instruction  
ཞི་ཁྲོའི་ལྷ་	Peaceful and wrathful deities [e:Peaceful and wrathful deities  
ཞི་གནས་	Calm abiding; meditation [e:Calm abiding; meditation     
ཞི་བ་	 ༼m1༽ To bring back normal health [e:  ༼m1༽ To bring back normal health   ༼m2༽ Peaceful     
ཞིང་ཁམས་	The holy or spiritual realm [e:The holy or spiritual realm     
ཞིང་པ་	Peasant or farmer [e:Peasant or farmer     
ཞིབ་པ་	Detailed [e:Detailed     
ཞིམ་ཐིག་དཀར་པོ་	༼bot=༽ Salvia raporowskii [e:༼bot=༽ Salvia raporowskii Taste: Bitter Potency: Cool Uses: It cures all kinds of eye disorders. ཞིམ་ཐིག་སྔོན་པོ Nepeta Coerusens Maxim ཞིམ་ཐིག་སྔོན་པོ་ཆུང་བ Stachys sp.  
ཞིམ་ཐིག་ནག་པོ་	༼bot=༽ Rabdosia rugosa [e:༼bot=༽ Rabdosia rugosa Taste: Bitter Potency: Sharp and coarse to cool Uses: It is used to treat eye disorders, internal worms and cramps.  
ཞིམ་ཐིག་དམར་པོ་	Stachys kouyangensis [e:Stachys kouyangensis (vaniot) Dunn  
ཞིམ་ཐིག་ལེ་དཀར་པོ་	༼bot=༽ Lagopsis supina [e:༼bot=༽ Lagopsis supina (steph) Taste: Sweet Uses: It alleviates eye disorders.  
ཞུ་རྗེས་ན་	Post digestive pain [e:Post digestive pain  
ཞུ་མཁན་	༼hn=༽ Lodhar ༼bot=༽ Symplocos paniculata [e:༼hn=༽ Lodhar ༼bot=༽ Symplocos paniculata Taste: Bitter Potency: Cool Uses: It treats pneumonia, oral diseases, nephritis, and ཞུ་བ་བོ The one who requests, askers  
ཞུན་མར་	Clarified butter, melted butter [e:Clarified butter, melted butter     
ཞུམ་བུ་	Cat [e:Cat     
ཞེ་སྡང་	Hatred or aversion It is one of the five mental poisons. Hatred also originates from the chief delusion and distorts reality. It leads to flame of anger towards those who annoy us. It is a very untamed state of mind, very uncivilized, rude and uneven. It increases མཁྲིས་པ། which produces hot energy and temperature and leads to frustration, anxiety, depression, worries and burns the heart. [e:Hatred or aversion It is one of the five mental poisons. Hatred also originates from the chief delusion and distorts reality. It leads to flame of anger towards those who annoy us. It is a very untamed state of mind, very uncivilized, rude and uneven. It increases མཁྲིས་པ། which produces hot energy and temperature and leads to frustration, anxiety, depression, worries and burns the heart.     
ཞེ་སྡང་ཚིལ་བུ་	Fats from a snake [e:Fats from a snake (༼lv=lit༽ hatred fats)  
ཞོ་སྐྱ་	Thin curd [e:Thin curd (i.e. sour butter milk)  
ཞོ་ཁ་ཆུ་	Skimmed whey It dilutes the stool and cleanses the channels. [e:Skimmed whey It dilutes the stool and cleanses the channels.  
ཞོ་ཕྲུམ་	Curd [e:Curd  
ཞོ་ཤ་གསུམ་	The three ཞོ་ཤ ༼m1༽ སྙིང་གི་ཞོ་ཤ -Spondias axillaris Roxb, Choerospoldia Saxillaris (heart shaped fruit), ༼m2༽ མཁལ་མ་ཞོ་ཤ - Cowhage, Canavalia gladiata, Mucuna prurita (kidney shaped seeds), [e:The three ཞོ་ཤ   ༼m1༽ སྙིང་གི་ཞོ་ཤ -Spondias axillaris Roxb, Choerospoldia Saxillaris (heart shaped fruit),   ༼m2༽ མཁལ་མ་ཞོ་ཤ - Cowhage, Canavalia gladiata, Mucuna prurita (kidney shaped seeds),   ༼m3༽ གླ་གོར་ཞོ་ཤ (it is also known as མཆེར་པ་ཞོ་ཤ ) -Entada scandens, Mucuna Monospermum Roxb (spleen shaped seeds)  
ཞོག་ཁོག་	༼hn=༽ A-lu ༼en=༽ Potato ༼bot=༽ Solanum tuberosum [e:༼hn=༽ A-lu ༼en=༽ Potato ༼bot=༽ Solanum tuberosum Taste: Sweet Potency: Cool Uses: It is valuable in treating chronic constipation, renal stone and dropsy. Raw potato juice is regarded as an excellent remedy for rheumatism, stomach and intestinal disorders and can be applied externally to relieve swelling and other disorders of the joints and muscles.  
